period,seed,response
midday,178,NDSI
midday,178,Quiet
midday,240,ACI
midday,240,Anthropophony
midday,240,Biophony
midday,240,Geophony
midday,240,H
midday,240,NDSI
midday,240,Quiet
midday,273,ACI
midday,273,Anthropophony
midday,273,Biophony
midday,273,Geophony
midday,273,H
midday,273,NDSI
midday,273,Quiet
midday,386,ACI
midday,386,Anthropophony
midday,386,Biophony
midday,386,Geophony
midday,386,H
midday,386,NDSI
midday,386,Quiet
midday,416,ACI
midday,416,Anthropophony
midday,416,Biophony
midday,416,Geophony
midday,416,H
midday,416,NDSI
midday,416,Quiet
midday,513,ACI
midday,513,Anthropophony
midday,513,Biophony
midday,513,Geophony
midday,513,H
midday,513,NDSI
midday,513,Quiet
midday,601,ACI
midday,601,Anthropophony
midday,601,Biophony
midday,601,Geophony
midday,601,H
midday,601,NDSI
midday,601,Quiet
midday,681,ACI
midday,681,Anthropophony
midday,681,Biophony
midday,681,Geophony
midday,681,H
midday,681,NDSI
midday,681,Quiet
night,81,ACI
night,81,Anthropophony
night,81,Biophony
night,81,Geophony
night,81,H
night,81,NDSI
night,81,Quiet
night,143,ACI
night,143,Anthropophony
night,143,Biophony
night,143,Geophony
night,143,H
night,143,NDSI
night,143,Quiet
night,178,ACI
night,178,Anthropophony
night,178,Biophony
night,178,Geophony
night,178,H
night,178,NDSI
night,178,Quiet
night,240,ACI
night,240,Anthropophony
night,240,Biophony
night,240,Geophony
night,240,H
night,240,NDSI
night,240,Quiet
night,273,ACI
night,273,Anthropophony
night,273,Biophony
night,273,Geophony
night,273,H
night,273,NDSI
night,273,Quiet
night,386,ACI
night,386,Anthropophony
night,386,Biophony
night,386,Geophony
night,386,H
night,386,NDSI
night,386,Quiet
night,416,ACI
night,416,Anthropophony
night,416,Biophony
night,416,Geophony
night,416,H
night,416,NDSI
night,416,Quiet
night,513,ACI
night,513,Anthropophony
night,513,Biophony
night,513,Geophony
night,513,H
night,513,NDSI
night,513,Quiet
night,601,ACI
night,601,Anthropophony
night,601,Biophony
night,601,Geophony
night,601,H
night,601,NDSI
night,601,Quiet
night,681,ACI
night,681,Anthropophony
night,681,Biophony
night,681,Geophony
night,681,H
night,681,NDSI
night,681,Quiet
all_day,143,bird_richness
all_day,513,bird_richness
all_day,386,bird_richness
all_day,273,bird_richness
all_day,681,bird_richness
all_day,81,bird_richness
all_day,178,bird_richness
all_day,416,bird_richness
all_day,601,bird_richness
all_day,240,bird_richness
